,Alive in collection:,72,,,,,
,,,,,,,
Phalaenopsis,Phalaenopsis ,,True Love',"April 9th, 2023","Florist, a Gift to Michaela",thriving,
Phalaenopsis,Phalaenopsis ,,"Get Well Blush', may be 'Denver'","April 9th, 2023",Smart & Final,thriving,
Phalaenopsis,Phalaenopsis ,,Big Pink',"Nov 27th, 2022",Jesse,alive,
Phalaenopsis,Phalaenopsis ,,Suraya's Gift',"July 4th, 2023",Suraya ,"deceased, 4.13.2024",
Phalaenopsis,Phalaenopsis ,,Little Pink',"Oct 10th, 2023",Dad,"alive, deceased 1.24.2025",
Phalaenopsis,Phalaenopsis ,,Sophie's Gift',ca 2019,,deceased,
Phalaenopsis,Phalaenopsis ,,D&S',ca. 2020,,deceased,
Phalaenopsis,Phalaenopsis ,,Wentworth Mini Pink,"August 30th, 2024","Wentworth Greenhouses, love me mini brand",alive ,"pink, similar to Phal. 'Little Pink', but the leaves are slightly red "
Phalaenopsis,Phalaenopsis ,,Scention',"Oct. 20th, 2024",Market Basket,thriving,
Phalaenopsis ,Phalaenopsis ,"Mainshow Mermaid (Mainshow Colorful '#1' x Mituo Purple Dragon ""#1"")",20250529,"June 4th, 2025",Big Leaf Orchids ,Thriving ,"In bloom, amazing flower. Purchased with gift card from Dad"
Phalaenopsis ,Phalaenopsis ,schilleriana ,,"March 29th, 2025",Ten Shin Gardens,Thriving,
Phalaenopsis ,Phalaenopsis ,Sweet Memory,Liodoro'?,"March 29th, 2025",Ten Shin Gardens,Thriving,
Phalaenopsis ,Phalaenopsis ,,Wentworth Yellow,"March 15th, 2025",Wentworth Greenhouse,"deceased, 10.10.2025",
Phalaenopsis ,Phalaenopsis ,NOID,Wentworth Greenhouse Purple,"Feb 5th, 2026",Wentworth Greenhouses clearance ,Thriving,
Phalaenopsis ,Phalaenopsis ,NOID,Carter's Babyshower Pink,"Feb 1st, 2026",Gift,Thriving ,
Phalaenopsis ,Phalaenopsis ,NOID,Walmart Salmon Pink Lip,"March 22nd, 2026",Walmart clearance ,Thriving ,
Slipper,Paphiopedilum ,(Avenue Azhar) x (Satchel's Legend 'H.S.' AM/AOS),,"March 15th, 2025",wentworth greenhouse,thriving,
Slipper,Paphiopedilum ,(Hsingsing 'Ruby Web' x Hsinging 'Cyber Leopard') x Lynn's Darkhorse 'Maddy' AM/AOS,,"Jan 14th, 2024","Dad, from Hausermann's ","deceased, 2.7.25",
Slipper,Paphiopedilum ,(mircanthum x hangianum) x hangianum,Liberty Taiwan'?,"Sept 16th, 2023",seattle orchid,"deceased, 1.18.25,",
Slipper,Paphiopedilum ,conco-bellatulum 'SVO AM/AOS' x thaianum 'Super Cute',,"July 13th, 2022",Orchid Inn,deceased,
Slipper,Paphiopedilum ,delenatii ,,"Jan 7th, 2023",Hausermann ,thriving,
Slipper,Paphiopedilum ,Lola Bird 'SVO Raspberry Jam' AM/AOS x delenatii 'SVO VII' AM/AOS,,"March 29th, 2025",Oceanside Orchids/SVO,Thriving ,
Slipper,Paphiopedilum ,micanthum,,ca. 2015,,"deceased, 2.26.2023",
Slipper,Paphiopedilum ,moquettianum ,Gigantic Circle',"July 13th, 2022",Orchid Inn,thriving,
Slipper,Paphiopedilum ,nivium 'SVO Giant' x nivium 'Ross Hella',,"March 30th, 2025",Oceanside Orchids/SVO,Thriving,
Slipper,Paphiopedilum ,Sierra Sky (venustum x 'Hawaiian Volcano') ,,"Nov. 10, 2024",Paph Paradise,Thriving,"Bought in spike, owner said was repotted less than a month ago. Not a clone"
Slipper,Paphiopedilum ,venustum,,"Jan 7th, 2023",Hausermann ,"deceased, 1.18.2025",
Unk,Unk.,Unk.,,"Feb 19th, 2024",Ecuagenera,"deceased, 2.8.25",a little unlabeled guy my dad got. No way to ID until/unless it blooms
Vanda,Diploprora ,truncata,,"Jan 7th, 2023",Hausermann's,"deceased, 3.31.2024",
Vanda,Haraella,retrocalla (odorata),,"March 2nd, 2024",Ten Shin Gardens,deceased,
vanda,Haraella,retrocalla (odorata),,"March 29th, 2025",Ten Shin Gardens,alive,
Vanda,Haraella ,retrocalla (odorata),,"Feb 20th, 2022",Etsy,deceased ,
Vanda,Neofinetia,falcata, ‘Shutenno’,"July 12th, 2025",New World Orchids,thriving ,
Vanda,Schoenorchis ,fragrans,,"March 2nd, 2024",Ten Shin Gardens,alive,
Vanda,Vanda ,ampulacea (Ascocentrum ampulaceum),,"May 10th, 2025",Gold Country Orchids,thriving,
Phalaenopsis,Phalaenopsis ,,"NOID, big purple","Jan 6th, 2026",Wentworth Greenhouse,thriving ,
